Treatment,NumberIns,Time,Status
20oC,38,13,0
20oC,39,13,0
20oC,40,14,1
20oC,41,4,0
20oC,42,7,0
20oC,43,9,1
20oC,44,9,1
20oC,45,11,1
20oC,46,11,1
20oC,47,13,1
20oC,48,13,1
20oC,49,7,0
20oC,50,7,0
20oC,51,8,1
20oC,52,10,1
20oC,53,11,1
20oC,54,11,1
20oC,55,12,0
20oC,56,12,0
20oC,57,14,1
20oC,58,14,1
20oC,59,7,0
20oC,60,7,0
20oC,61,9,0
20oC,62,10,0
20oC,63,11,1
20oC,64,12,1
20oC,65,13,1
20oC,66,13,1
20oC,67,14,0
20oC,68,14,0
20oC,69,6,0
20oC,70,7,1
20oC,71,9,1
20oC,72,9,1
20oC,73,10,1
20oC,74,10,1
20oC,75,11,1
20oC,76,13,1
20oC,77,13,1
20oC,78,14,0
20oC,79,7,1
20oC,80,7,1
20oC,81,8,0
20oC,82,9,1
20oC,83,10,1
20oC,84,11,1
20oC,85,11,0
20oC,86,14,1
20oC,87,14,1
20oC,88,8,0
20oC,89,10,1
20oC,90,10,1
20oC,91,11,1
20oC,92,12,0
20oC,93,13,1
20oC,94,14,1
20oC,95,14,1
25oC,1,6,1
25oC,2,6,1
25oC,3,7,1
25oC,4,7,0
25oC,5,9,1
25oC,6,10,1
25oC,7,11,1
25oC,8,12,1
25oC,9,13,1
25oC,10,13,1
25oC,11,5,0
25oC,12,6,1
25oC,13,7,1
25oC,14,8,1
25oC,15,11,1
25oC,16,12,1
25oC,17,13,1
25oC,18,13,1
25oC,19,13,0
25oC,20,14,0
25oC,21,6,0
25oC,22,7,0
25oC,23,7,1
25oC,24,8,1
25oC,25,8,1
25oC,26,9,1
25oC,27,12,1
25oC,28,13,0
25oC,29,14,1
25oC,30,14,1
25oC,31,6,1
25oC,32,6,1
25oC,33,7,1
25oC,34,8,1
25oC,35,9,0
25oC,36,10,1
25oC,37,11,1
25oC,38,12,1
25oC,39,13,1
25oC,40,14,1
25oC,41,5,0
25oC,42,7,1
25oC,43,7,1
25oC,44,10,1
25oC,45,10,1
25oC,46,11,1
25oC,47,11,0
25oC,48,13,1
25oC,49,13,0
25oC,50,14,1
25oC,51,6,1
25oC,52,6,1
25oC,53,6,1
25oC,54,6,1
25oC,55,7,1
25oC,56,8,0
25oC,57,10,1
25oC,58,11,1
25oC,59,12,1
25oC,60,12,1
25oC,61,7,1
25oC,62,7,1
25oC,63,7,1
25oC,64,7,1
25oC,65,8,1
25oC,66,9,1
25oC,67,11,1
25oC,68,11,1
25oC,69,12,0
25oC,70,13,1
25oC,71,8,1
25oC,72,8,1
25oC,73,9,1
25oC,74,10,0
25oC,75,11,1
25oC,76,12,1
25oC,77,14,1
25oC,78,14,1
25oC,79,15,1
25oC,80,15,1
25oC,81,8,1
25oC,82,8,1
25oC,83,8,1
25oC,84,8,1
25oC,85,8,1
25oC,86,9,0
25oC,87,9,0
25oC,88,11,0
25oC,89,12,0
25oC,90,13,0
25oC,91,7,1
25oC,92,7,1
25oC,93,9,0
25oC,94,9,0
25oC,95,11,1
25oC,96,11,1
25oC,97,11,1
25oC,98,12,1
25oC,99,13,1
25oC,100,13,0
30oC,1,3,0
30oC,2,3,0
30oC,3,4,0
30oC,4,6,0
30oC,5,8,0
30oC,6,9,0
30oC,7,9,0
30oC,8,10,1
30oC,9,12,1
30oC,10,12,1
30oC,11,3,0
30oC,12,6,0
30oC,13,6,0
30oC,14,7,0
30oC,15,9,0
30oC,16,13,0
30oC,17,13,1
30oC,18,11,1
30oC,19,11,1
30oC,20,10,1
30oC,21,3,0
30oC,22,3,0
30oC,23,3,0
30oC,24,7,0
30oC,25,7,0
30oC,26,8,0
30oC,27,10,1
30oC,28,10,1
30oC,29,12,1
30oC,30,12,1
30oC,31,3,0
30oC,32,3,0
30oC,33,4,0
30oC,34,6,1
30oC,35,7,0
30oC,36,7,0
30oC,37,10,1
30oC,38,12,1
30oC,39,13,1
30oC,40,14,1
30oC,41,3,0
30oC,42,4,0
30oC,43,6,0
30oC,44,7,0
30oC,45,7,0
30oC,46,10,1
30oC,47,10,1
30oC,48,13,0
30oC,49,13,0
30oC,50,13,1
30oC,51,3,0
30oC,52,4,0
30oC,53,4,0
30oC,54,8,0
30oC,55,8,0
30oC,56,11,1
30oC,57,13,1
30oC,58,14,0
30oC,59,15,1
30oC,60,15,1
30oC,61,3,0
30oC,62,3,0
30oC,63,7,0
30oC,64,9,0
30oC,65,10,0
30oC,66,11,0
30oC,67,13,1
30oC,68,14,0
30oC,69,15,1
30oC,70,16,0
30oC,71,16,0
30oC,72,4,0
30oC,73,5,0
30oC,74,8,0
30oC,75,8,0
30oC,76,11,1
30oC,77,12,1
30oC,78,13,1
30oC,79,14,0
30oC,80,14,0
30oC,81,14,0
30oC,82,2,0
